label	body
0	the company had a tax credit of $1.4 million in the year-earlier quarter the tax credit was $3.3 million
0	for the nine months norton had net of $81.2 million or $3.87 a share and a tax credit of $4.4 million in the year-earlier period the company had net of $77.2 million or $3.68 a share and a tax credit of $7.7 million
0	that producing a charter acceptable to both britain and european industry isn't an unattainable goal the charter would just have to be restricted to a list of workers' fundamental rights
0	a genuine market for labor and wages would replace the present rigid centralized system departing from decades of soviet dogma the new system would lead to big differences in pay between workers and almost certainly to unemployment
0	after one of the most amazing debates we've ever seen on the cable channel c-span the house voted 250 to 170 on wednesday to order $28.4 million in spending for a new jersey arts center a michigan library and 38 other pet projects out of the same discretionary fund that was supposed to have been so abused during sam pierce's tenure hud has no paper work whatsoever on 30 of the projects none of the others has been approved and not a single congressional hearing has been held on any of them
0	a recession how deep is it going to be
0	london-based lit holdings the largest financer of traders in the chicago options and futures markets said yesterday it will incur a second-half loss as a result of the market plunge the company didn't specify the size
0	people in the stock market were very much thatcher's children -- very young and wealthy optimists now it's dawning on them that they can be non-wealthy
0	the industry has shed about 2 500 jobs over the past two years i can see cuts of at least 20% more
0	but uncertainties are beginning to mount even there intra-european takeovers are expected to continue at their brisk pace
0	the percentage of your day spent twiddling your thumbs got greater and the work day kept getting longer what am i doing in jackson hole?
0	at&t gave a 5% to 10% discount to the memphis tenn. company that oversees holiday inns in response to a similar discount offered to holiday corp. by mci communications corp that because mci's offer had expired at&t couldn't continue to offer its discount plan
0	being a travel agent used to be pretty glamorous now it's getting downright dangerous
0	at el monte travel center in el monte calif. customers now can get in only through a buzzer and lock system it's hard to deal with clients this way in a service business
0	before the law went into effect last month car rental companies were charging as much as $12 a day for the waiver in texas now they're charging as little $3 a day
0	it is considering changing its policy -- or lack of it -- on flight attendants the agency may not have much choice: a congressional bill has been introduced that would force the agency to limit flight attendant duty time to 14 hours on u.s. flights and 16 hours on international trips
0	the average cost for breakfast at a decent hotel restaurant in new york is $17.12 according to corporate travel magazine the cheapest among 100 cities surveyed was $5.11 in el paso texas
0	it owns a 49% stake in the new company it didn't invest any additional capital in the venture
0	daily trading volume in the new york foreign exchange market is $130 billion the daily volume for treasury securities is about $110 billion
0	the $13 billion the fed injected into the money markets after the 1987 crash is more than enough to buy all the stocks traded on a typical day more carefully targeted intervention might actually reduce the need for government action
0	we were unprepared for the deterioration in net exports it will continue
0	that suggests there is a little more inventory overhang than some people expected it's anything that's going to cause a downturn in economic activity
0	in the comparable year-ago quarter the second quarter ended oct. 31 service corp. had a loss of about $12.5 million or 26 cents a share on revenue of $175.4 million results for that quarter included a $30 million or 40 cents a share write-down associated with the consolidation of a facility
0	companies that only recently were thriving find themselves scrambling to survive as their varied strategies suggest there is more than one way to respond to a disaster
0	for many companies the instinctive first response is to cut costs others are trying to find specialty defense work spared by the slowdown or new niches created by budget-cutting
0	others are trying to find specialty defense work spared by the slowdown or new niches created by budget-cutting more venturesome businesses are applying their skills in commercial fields
0	he hopes the company can eventually get up to half of its revenue from commercial markets for now we're looking at buying some small companies with niche markets in the personal-computer business
0	our ordnance business has been hurt very badly by the slowdown i wouldn't say we're out of the business
0	in late new york trading yesterday the dollar was quoted at 1.8400 marks up from 1.8353 marks late wednesday and at 142.10 yen up from 141.52 yen late wednesday sterling was quoted at $1.5765 sharply down from $1.6145 late wednesday
0	even now the american attack upon this tremendous problem is timid in relation to the magnitude of the threat. colombia alone -- its government its people its newspapers -- does not have the capacity to fight this battle successfully
0	there has been a lot of talk that a large portion of the colombian economy is sustained by the laundering of drug money in my opinion this is not true
0	u.s. interests occasionally try to impose barriers to the import of another important colombian export -- cut flowers -- into the american market a just price and an open market for what colombian produces and exports should be the policy of the u.s
0	a few years ago mrs. hammack insisted on buying earthquake insurance for this house which had been converted into apartments only about 20% of california home and business owners carried earthquake coverage
0	adjusters who had been working on the east coast say the insurer will still be processing claims from that storm through december it could take six to nine months to handle the earthquake-related claims
